transaction_id,user_id,bank_timestamp,local_timestamp,location,ip_address,device_id,network_type,type,amount,currency,account_id,balance_before,balance_after,merchant_name,recipient_id,recipient_bank,behavior_type,fraud_label
TXN-f999d35513,USER-ae30600d,2025-03-04T14:08:27+00:00,2025-03-04T14:08:27+08:00,"Shanghai, China",192.168.1.1,Huawei Mate 30 Pro,Mobile Network,Withdrawal,350000,CNY,ACC-56789123,261,261,,,,Account Takeover,1
TXN-071e040a0a,USER-ae30600d,2025-03-04T16:17:48+00:00,2025-03-04T24:17:48+08:00,"Singapore, Singapore",178.16.234.78,Samsung Galaxy S21 Ultra,Mobile Network,Transfer Out,259.5,SGD,ACC-abcdefgh,8342,8082.5,,,,Account Takeover,1
TXN-dfaf7d060d,USER-ae30600d,2025-03-06T08:12:59+00:00,2025-03-06T16:12:59+08:00,"Shanghai, China",192.168.1.1,Huawei Mate 30 Pro,Mobile Network,Transfer IN,100000,CNY,ACC-abcdefgh,8082.5,108082.5,,,,Account Takeover,1
TXN-eed8b17996,USER-aaa9f9da,2025-03-04T14:12:56+00:00,2025-03-04T19:12:56+08:00,"Shanghai, China",192.168.1.1,Samsung Galaxy S22,Mobile Network,Withdrawal,123456.78,USD,ACC-34276123,3346,3346,,,,Account Takeover,1
TXN-e01a2625b3,USER-aaa9f9da,2025-03-07T13:34:28+00:00,2025-03-07T21:34:28+08:00,"Shanghai, China",192.168.1.1,Samsung Galaxy S22,Mobile Network,Transfer Out,2987.65,SGD,ACC-12345678,5304,2316.35,,,,Account Takeover,1
TXN-2d890d0bd4,USER-aaa9f9da,2025-03-04T17:15:29+00:00,2025-03-04T22:15:29+08:00,"Shanghai, China",192.168.1.2,Huawei Mate X2,Mobile Network,Withdrawal,3336.0,USD,ACC-34276124,5009,1673.0,,,,Account Takeover,1
TXN-4c9bbe3dc1,USER-aaa9f9da,2025-03-08T14:47:23+00:00,2025-03-08T22:47:23+08:00,"Shanghai, China",192.168.1.1,Samsung Galaxy S22,Mobile Network,Transfer Out,220.0,CNY,ACC-12345679,8750,8530.0,,,,Account Takeover,1
TXN-6f0e88a37c,USER-aaa9f9da,2025-03-06T14:45:28+00:00,2025-03-06T19:45:28+08:00,"Singapore, Singapore",163.172.24.34,Huawei P50 Pro,Mobile Network,Withdrawal,500.12,SGD,ACC-abcd1234,9303,8802.88,,,,Account Takeover,1
TXN-978ff5677e,USER-b2cbc3e0,2025-03-04T14:08:37+00:00,2025-03-04T14:08:37+08:00,"Shanghai, China",103.201.196.98,Huawei Mate 20 Pro,Mobile Network,Withdrawal,62.12,USD,ACC-8abcd123,3303,3240.88,,,,Account Takeover,1
TXN-ebdd0f33ab,USER-b2cbc3e0,2025-03-04T14:08:27+00:00,2025-03-04T09:08:27-08:00,"Singapore, SG",45.34.89.76,Samsung-Note10+,Mobile,Transfer Out,125000,SGD,ACC-3e0b2cbc,4218,4218,,REC-d98e2a3c,BANK-12abcd,Account Takeover,1
TXN-90ae9ecd6d,USER-b2cbc3e0,2025-03-04T14:08:27+00:00,2025-03-04T14:08:27+08:00,"Shanghai, China",192.168.1.23,Huawei-Mate40Pro,4G,Transfer Out,275.49,CNY,ACC-98765432,4105,3829.51,,REC-11122334,BANK-99887766,Account Takeover,1
TXN-570df13469,USER-b2cbc3e0,2025-03-04T14:08:37+00:00,2025-03-04T19:08:37+08:00,"Shenzhen, China",212.117.243.67,iPhone-12,Mobile,Withdrawal,67.21,USD,ACC-abcdefgh,9096,9028.79,,,,Account Takeover,1
TXN-8ee802b416,USER-d2799dd5,2025-03-04T14:09:53+00:00,2025-03-04T14:09:53+08:00,"Shanghai, China",123.123.123.123,Samsung-Galaxy-S21,Mobile,Withdrawal,64567.12,USD,ACC-a1b2c3d4,2561,2561,,,,Account Takeover,1
TXN-ee30422bee,USER-d2799dd5,2025-03-06T14:11:09+00:00,2025-03-06T14:11:09+08:00,"Shanghai, China",987.654.321.01,Xiaomi-Redmi-Note-10,Mobile,Transfer Out,3000.0,USD,ACC-791123e4,2906,2906,,REC-m9876543,SIN-91234567,Account Takeover,1
TXN-bd94f05815,USER-d2799dd5,2025-03-07T16:45:17+00:00,2025-03-07T08:45:17+08:00,Singapore,103.56.89.211,Samsung-Galaxy-Fold,Mobile,Withdrawal,247.12,SGD,ACC-98765432,6616,6368.88,,,,Account Takeover,1
TXN-38e009639a,USER-32aecdac,2025-03-04T14:12:07+00:00,2025-03-04T09:12:07-05:00,"New York City, USA",98.76.54.32,Samsung-Galaxy-Note-20,Cellular,Unauthorized Stock Sale,12345.67,USD,ACC-bcdefghi,5903,5903,XYZ Stock Exchange,,,Insider Trading,1
TXN-b7cdfd09e7,USER-32aecdac,2025-03-04T14:08:12+00:00,2025-03-04T09:08:12-05:00,"New York, USA",101.222.33.44,Samsung-Galaxy-S22,Mobile Network,Unauthorized Stock Sale,12.567,USD,ACC-bcdefghi,5903,5890.433,XYZ-Stock-Brokerage,,,Insider Trading,1
TXN-4bf18c0e74,USER-32aecdac,2025-03-04T14:16:27+00:00,2025-03-04T09:16:27-05:00,"New York City, USA",98.76.54.32,Samsung-Galaxy-Note-20,Cellular,Unauthorized Stock Purchase,10.567,USD,ACC-bcdefghi,5890.433,5879.866,XYZ-Stock-Brokerage,,,Insider Trading,1
TXN-57896cf191,USER-32aecdac,2025-03-04T14:08:17+00:00,2025-03-04T09:08:17-05:00,"New York, USA",192.168.0.1,iPhone-13,Cellular,Unauthorized Stock Sale,12.567,USD,ACC-32aecdac,9836,9823.433,Brokerage Firm XYZ,,,Insider Trading,1
TXN-040152b00d,USER-32aecdac,2025-03-04T14:08:17+00:00,2025-03-04T19:08:17+08:00,"New York City, USA",192.168.1.234,Samsung-Galaxy-S21,Cellular,Unauthorized Stock Sale,25000,USD,ACC-b6f4c5a1,6292,6292,,,,Insider Trading,1
TXN-09c3bf2e09,USER-97db5151,2025-03-04T14:08:12+00:00,2025-03-04T19:08:12+08:00,"Hong Kong, China",192.168.1.1,Samsung Galaxy S21,4G,Withdrawal,346.78,USD,ACC-abcdefgh,9425,9078.22,,,,Account Takeover,1
TXN-98a2bafd49,USER-97db5151,2025-03-04T16:10:37+00:00,2025-03-04T23:10:37+08:00,"Shanghai, China",203.0.113.14,Huawei Mate 40 Pro,LTE,Transfer Out,4987.65,CNY,ACC-ijklmnop,7710,2722.3500000000004,,,,Account Takeover,1
TXN-c91841dec6,USER-97db5151,2025-03-06T12:37:45+08:00,2025-03-06T04:37:45+00:00,"Singapore, Singapore",139.162.254.12,Xiaomi Mi 11,4G,Withdrawal,8000.0,USD,ACC-98732615,5670,5670,,,,Account Takeover,1
TXN-2c919cfd77,USER-97db5151,2025-03-06T11:37:48+00:00,2025-03-06T18:37:48+08:00,"Shenzhen, China",192.168.1.1,Huawei Mate X2,4G,Transfer Out,5000,CNY,ACC-93457622,7844,2844,,REC-07896345,BKT-zyxwvbnm,Account Takeover,1
TXN-5daadf1a4b,USER-97db5151,2025-03-04T14:08:09+00:00,2025-03-04T14:08:09+08:00,"Shanghai, China",182.68.36.14,Huawei Mate 50 Pro,Mobile Network,Withdrawal,45000.25,USD,ACC-78a6b7cd,1272,1272,,,,Account Takeover,1
TXN-7f941d9dc1,USER-4b33c306,2025-03-15T09:00:00+00:00,2025-03-14T23:00:00-05:00,"New York, USA",103.22.192.128,iPhone-13,Mobile,Purchase,5.99,USD,ACC-82736401,8774,8768.01,McDonald's,,,Tech Professional,0
TXN-b87b3af57f,USER-4b33c306,2025-03-01T15:30:00+00:00,2025-03-01T10:30:00-05:00,"New York, USA",103.22.198.76,iPhone-12,Mobile,Purchase,29.99,USD,ACC-82736401,8768.01,8738.02,Apple Store,,,Tech Professional,0
TXN-98c8809344,USER-4b33c306,2025-03-01T16:45:27+00:00,2025-03-01T11:45:27-05:00,"New York, USA",78.126.200.67,iPad Pro,Wi-Fi,Transfer In,50.0,USD,ACC-82736401,8738.02,8788.02,,REC-98765432,,Tech Professional,0
TXN-cc300a5060,USER-4b33c306,2025-03-01T14:30:00+00:00,2025-03-01T09:30:00-05:00,"New York, USA",76.123.45.67,Samsung Galaxy S21,Mobile Network,Transfer In,50.0,USD,ACC-82736401,8788.02,8838.02,,REC-98765432,BANK-XYZ,Tech Professional,0
TXN-2966ebac6f,USER-4b33c306,2025-03-01T16:45:32+00:00,2025-03-01T11:45:32-05:00,"New York, USA",178.63.452.123,Samsung-Galaxy-S21-ULTRA,Cellular,Purchase,30.99,USD,ACC-82736401,8838.02,8807.03,Amazon,,,Tech Professional,0
TXN-fbb9ef6f9b,USER-6b11ce91,2025-03-01T10:45:00+00:00,2025-03-01T05:45:00-05:00,"New York, USA",136.207.198.52,Samsung Galaxy S21,Mobile,Purchase,12.99,USD,ACC-98765432,906,893.01,McDonald's,,,Everyday Spender,0
TXN-56547ebe98,USER-442d9562,2025-03-01T16:47:29+00:00,2025-03-01T11:47:29-05:00,"Tokyo, Japan",203.0.113.5,Samsung-Galaxy-S22,Mobile,Transfer Out,10.99,USD,ACC-82736401,9334,9323.01,,REC-98765432,JapanBank,Traveler,0
TXN-923354e721,USER-442d9562,2025-03-02T14:27:46+00:00,2025-03-02T09:27:46-05:00,"New York, USA",87.98.304.3,iPhone-12,Mobile,Purchase,25.99,USD,ACC-82736401,9323.01,9297.02,McDonald's,,,Traveler,0
TXN-fed9a88762,USER-442d9562,2025-03-01T14:37:16+00:00,2025-03-01T10:37:16-05:00,"San Francisco, USA",204.83.64.57,Samsung Galaxy S22,Cellular,Transfer Out,100.0,USD,ACC-82736401,9297.02,9197.02,,REC-981273640,CHASE,Traveler,0
TXN-6955d4ee4f,USER-442d9562,2025-03-01T14:30:00+00:00,2025-03-01T09:30:00-05:00,"New York, USA",82.121.200.74,Samsung Galaxy S21,Mobile Network,Purchase,12.99,USD,ACC-82736401,9197.02,9184.03,McDonald's,,,Traveler,0
